Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Candace Parker,CHI,F-C,23,23,23,26.7,5,11,0.458,1,3.2,0.329,4,7.8,0.511,2.2,2.7,0.794,1.4,8.4,4,0.8,1.2,2.4,1.6,13.3
Allie Quigley,CHI,G,26,26,11,24.4,4.7,10.4,0.448,2.1,4.6,0.454,2.6,5.8,0.444,1.8,1.9,0.959,0.7,2.7,2.3,0.5,0.3,1.2,1.4,13.2
Myisha Hines-Allen,WAS,F,18,18,17,25.7,4.9,11.9,0.414,0.7,2.3,0.317,4.2,9.7,0.437,2.3,3.1,0.732,1.8,7,2.5,1.3,0.6,1.8,2.5,12.9
Jackie Young,LVA,G,32,32,32,31.8,4.8,9.6,0.507,0.2,0.6,0.25,4.7,8.9,0.524,2.3,2.8,0.833,0.6,4.1,3.2,1.1,0.3,1.5,1.8,12.2
Tiffany Mitchell,IND,G,28,28,25,27.3,3.8,9.1,0.421,0.4,1.7,0.255,3.4,7.4,0.459,3.9,4.5,0.88,0.9,2.9,2,0.6,0,1.9,1.9,12
Allisha Gray,DAL,G,25,25,16,27.8,4.2,9.7,0.438,1.2,3.3,0.366,3,6.4,0.475,2.2,2.6,0.862,1.3,5.2,1.7,1,0.8,1.4,2.1,11.9
Satou Sabally,DAL,F,17,17,14,24.9,4.1,9.7,0.418,1.1,3.2,0.327,3,6.5,0.464,2.8,3.6,0.77,1.6,5.9,2.8,0.2,0.8,2.3,3.2,11.9
Sabrina Ionescu,NYL,G,30,30,26,30,3.8,9.9,0.379,1.8,5.5,0.325,2,4.4,0.447,2.4,2.6,0.911,0.7,5.7,6.1,0.6,0.5,3.2,1.8,11.7
Sami Whitcomb,NYL,G,30,30,28,28.1,4.1,8.7,0.473,2.5,6,0.425,1.6,2.8,0.578,0.9,1.1,0.818,0.3,5,2.7,1,0.3,2.1,1.8,11.7
Dearica Hamby,LVA,F,29,29,0,24.5,4.4,8,0.545,0.3,1.2,0.25,4.1,6.8,0.599,2.6,3.9,0.655,1.1,6.7,1.7,1.1,0.1,1.5,2,11.6
Diamond DeShields,CHI,G,32,32,22,26.9,3.8,9.8,0.393,0.8,2.5,0.3,3.1,7.3,0.425,2.8,3.5,0.82,0.4,3.5,2.3,1.2,0.4,1.9,3.2,11.3
Teaira McCowan,IND,C,32,32,23,26.5,4.3,8,0.537,0,0,,4.3,8,0.537,2.7,4.1,0.644,3.4,9.6,1.1,0.6,1.6,1.7,3.3,11.3
Chelsea Gray,LVA,G,32,32,32,28.9,4.6,10.2,0.454,0.8,2.2,0.38,3.8,8,0.475,1,1.1,0.889,0.5,2.9,5.9,1.2,0.3,2.8,1.3,11.1
Isabelle Harrison,DAL,F,28,28,5,23.8,4.6,8.6,0.538,0,0,0,4.6,8.5,0.54,1.7,2.1,0.783,1.6,5.9,1.1,1.1,0.7,1.5,2.5,10.9
Jasmine Thomas,CON,G,30,30,30,29.6,3.8,9.8,0.386,1.4,3.5,0.4,2.4,6.3,0.378,1.6,1.9,0.875,0.4,2.4,4.1,1.3,0.2,2.2,1.8,10.6
Courtney Vandersloot,CHI,G,32,32,32,30.5,4,9.3,0.433,1.1,3.3,0.346,2.9,6.1,0.479,1.3,1.5,0.857,0.5,3.4,8.6,1.7,0.4,3,2.1,10.5
Riquna Williams,LVA,G,32,32,32,26,3.6,8,0.444,2,4.7,0.417,1.6,3.3,0.481,1.4,1.6,0.92,0.2,2.6,1.6,0.8,0.3,0.7,1.5,10.5
Cheyenne Parker,ATL,F,13,13,11,20.8,3.8,8.5,0.455,0.8,2.3,0.333,3.1,6.2,0.5,1.7,2.2,0.786,1,4.5,1.2,1.2,0.9,1.3,2.2,10.2
Sue Bird,SEA,G,30,30,30,27.7,3.5,8.2,0.431,2.2,5.3,0.419,1.3,2.9,0.453,0.7,0.8,0.833,0.3,2.6,5.3,0.9,0.1,1.6,1,10
