Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lexie Brown,CHI,G,17,17,0,9.5,0.6,2.2,0.263,0.5,1.9,0.242,0.1,0.3,0.4,0,0,,0,0.7,1.1,0.4,0,0.5,0.6,1.6
Natasha Mack,TOT,F,4,4,0,4.5,0.5,0.8,0.667,0,0,,0.5,0.8,0.667,0.5,0.5,1,0.3,1,0,0,0,0.5,0.5,1.5
Kiah Stokes,TOT,C,24,24,8,18.5,0.7,1.2,0.571,0,0.1,0.5,0.6,1.1,0.577,0.2,0.3,0.667,1.5,5.4,0.8,0.4,0.7,0.5,1.4,1.5
Stephanie Jones,CON,F,18,18,0,5.5,0.7,1.6,0.414,0,0.1,0,0.7,1.5,0.444,0.1,0.1,0.5,0.6,1.2,0.2,0.1,0.1,0.2,0.5,1.4
Alanna Smith,PHO,F,18,18,0,6.5,0.4,1.9,0.235,0.2,1.2,0.19,0.2,0.7,0.308,0.1,0.2,0.25,0.3,1.3,0.6,0.4,0.3,0.3,0.6,1.2
Aaliyah Wilson,IND,G,14,14,0,8.5,0.4,1.9,0.231,0.1,0.5,0.143,0.4,1.4,0.263,0.1,0.3,0.5,0.4,0.9,0.6,0.2,0.1,0.6,1.2,1.1
Destiny Slocum,LVA,G,21,21,0,6.3,0.3,1,0.318,0.2,0.7,0.333,0.1,0.3,0.286,0.1,0.2,0.6,0.1,0.9,0.6,0.1,0,0.3,0.9,1
Cierra Burdick,TOT,F,14,14,0,4.6,0.4,0.8,0.455,0,0,,0.4,0.8,0.455,0.2,0.4,0.6,0.5,1.4,0.4,0.2,0.2,0.2,0.4,0.9
Chelsea Dungee,DAL,G,14,14,0,4.6,0.2,1.2,0.176,0.1,0.7,0.2,0.1,0.5,0.143,0,0,,0.1,0.2,0.1,0,0.1,0.1,0.5,0.6
Kiana Williams,SEA,G,10,10,0,3.5,0.1,0.7,0.143,0.1,0.6,0.167,0,0.1,0,0.1,0.1,1,0,0.4,0.2,0.1,0,0.2,0.3,0.4
Jillian Alleyne,WAS,C-F,2,2,0,4,0,1,0,0,0,,0,1,0,0,0,,0.5,2,0,0.5,0,0,0,0
Aleah Goodman,CON,G,1,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,1,0,0,0,1,0
Haley Gorecki,PHO,G,3,3,0,2,0,0.3,0,0,0.3,0,0,0,,0,0,,0,0.7,0,0,0,0.3,0,0
Linnae Harper,MIN,G,1,1,0,5,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,0,2,0
Mikiah Herbert Harrigan,SEA,F,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Angel McCoughtry,LVA,F-G,1,1,0,0,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0
Jasmine Walker,LAS,F,2,2,0,10,0,2.5,0,0,2,0,0,0.5,0,0,1,0,0,0.5,1,1,0.5,0.5,0.5,0
